,,,"Product Supply, Quality & IT",Henrik Wulff,,"Worldwide Chairman, Innovative Medicine",Jennifer L. Taubert,,Merck Human Health U.S.,Jannie Oosthuizen,,Immunology,Jérôme Bouyer,,Vaccines and Immune Therapies,Iskra Reic,,Head of Genentech Research and Early Development (gRED),Aviv Regev,,"President, Biomedical Research",Fiona H. Marshall,,,,,Chief Scientific Officer,Mikael Dolsten,,,,,CFO,François-Xavier Roger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Rare Disease,Ludovic Helfgott,,Chief Technical Operations & Risk Officer,Kathryn E. Wengel,,Human Health International,Joseph Romanelli,,Corporate Controller,Kevin Buckbee,,International and China President,Leon Wang,,Global Head of Pharma Partnering,James H. Sabry,,"Chief Ethics, Risk & Compliance Officer",Klaus Moosmayer,,,,,CFO,Dave Denton,,,,,Vaccines,Thomas Triomphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Chief information & digital officer,Dave Williams,,International Therapeutics,Alberto Colzi,,,,,Head of Group Communications,Barbara Schädler,,"President, Global Health & Sustainability",Lutz Hegemann,,,,,COO,Chris Boshoff,,,,,Consumer Healthcare,Julie Van Ongevalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,General counsel,Jennifer Zachary,,Neuroscience and Eye Care,Jag Dosanjh,,,,,,,,Chief Audit Officer,Kees Roks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Corporate Affairs,Tracie Haas,,,,,,,,Chief Corporate Affairs Officer,Michelle Weese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"CSO, Global Research",Thomas Hudson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Government Affairs,Greg Miley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Specialty and U.S. Therapeutics Operations,Nicole Mowad-Nassar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Chief Ethics and Compliance Officer and Allergan Aesthetics Legal,Sanjay Narayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Investor Relations,Liz Shea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Global Allergan Aesthetics,Carrie Strom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Chief Medical Officer, Global Therapeutics",Roopal Thakkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Oncology,Wulff-Erik von Borcke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Chief Equity Officer,Assil Omar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
